"restaurant_name","place_id"
"The Rasoi","ChIJcSuXgoMbdkgR1Mlxd4rKHS0"
"Bejoy Tandoori Restaurant","ChIJBaRDdGUZdkgRA4TMTMxbN3w"
"Indian Orchid","ChIJJ5L0duUZdkgR4yaRD3vR9cU"
"India Grill","ChIJXSuP63MZdkgRI0xWp5kWxfE"
"Sawan","ChIJIX_lTfkbdkgRP6630ZDESpQ"
"Sea Rock Club","ChIJDQtnc-8ZdkgRsmUXcuUSb0I"
"Sunderban Indian Takeaway","ChIJ-wrklOQbdkgRH0R_D0R2Cj0"
"Brunswick Tandoori Indian Takeaway","ChIJzbf1lqEZdkgR9ESrXgwcT9c"
"Boulevard","ChIJ6cektGkZdkgRmwUmFe5QamI"
"Rabbit Hole Cafe","ChIJbeJSPj4bdkgRIRFPgTqtsp0"
"Mohammedi Indian Takeaway","ChIJW2GNC2cZdkgRj6cvFJJNb4c"
"Veva Vegan - Tufnell Park","ChIJ_V7Ur6UbdkgRBc_AHom3_gY"
"Guru Tandoori Restaurant","ChIJubaM_f0ZdkgRyNxYt4CKDQ0"
"Salims","ChIJ38kRhOUbdkgRg5ac8GUiEgg"
"Aloo Tama","ChIJ2RGBvyUFdkgRIdkzhXdJExU"
"Brunswick Tandoori","ChIJZ99s858ZdkgRGLMv7FT_GeE"
"Fabrizio's","ChIJI9tSm7IbdkgRnWstxnqTMEo"
"Majjo's","ChIJ_bXQxiIadkgR2hpyHxegWyA"
"Paradise Kitchen","ChIJHQQZLnEbdkgRfWFrwqzBVmk"
